Unnamed: 0.1,Unnamed: 0,lat,lon,timestamp,datetime,time_delta,distance_Olin,distance_to_chosen
61,909839,39.8636571,-104.6728117,2022-03-09 13:41:57.901000+00:00,2022-03-09 13:41:57.901000+00:00,0 days 00:06:06.864000,1304.6271516040997,1313.8052411765036
62,909840,39.8639249,-104.6731761,2022-03-09 13:46:59.414000+00:00,2022-03-09 13:46:59.414000+00:00,0 days 00:05:01.513000,1304.584474664183,1313.7625741674435
63,909841,39.863549,-104.6746536,2022-03-09 13:48:14.317000+00:00,2022-03-09 13:48:14.317000+00:00,0 days 00:01:14.903000,1304.5078192069975,1313.68516727683
64,909842,39.863549,-104.6746536,2022-03-09 13:54:06.061000+00:00,2022-03-09 13:54:06.061000+00:00,0 days 00:05:51.744000,1304.5078192069975,1313.68516727683
65,909843,39.863549,-104.6746536,2022-03-09 13:59:06.090000+00:00,2022-03-09 13:59:06.090000+00:00,0 days 00:05:00.029000,1304.5078192069975,1313.68516727683
66,909844,47.4435215,-122.3212203,2022-03-09 17:03:47.124000+00:00,2022-03-09 17:03:47.124000+00:00,0 days 03:04:41.034000,339.91601236028225,332.0604355205095
67,909845,47.447839,-122.2977659,2022-03-09 17:12:05.445000+00:00,2022-03-09 17:12:05.445000+00:00,0 days 00:08:18.321000,338.5265974985261,330.70156338534224
68,909846,47.4465674,-122.2997688,2022-03-09 17:12:27.340000+00:00,2022-03-09 17:12:27.340000+00:00,0 days 00:00:21.895000,338.60212230354045,330.77208015899566
69,909847,47.4480654,-122.3016708,2022-03-09 17:15:35.937000+00:00,2022-03-09 17:15:35.937000+00:00,0 days 00:03:08.597000,338.80255093433664,330.9749016949825
70,909848,47.4480702,-122.3019865,2022-03-09 17:15:53.766000+00:00,2022-03-09 17:15:53.766000+00:00,0 days 00:00:17.829000,338.82422015556216,330.99632408946445
71,909849,47.4484224,-122.3028107,2022-03-09 17:24:41.946000+00:00,2022-03-09 17:24:41.946000+00:00,0 days 00:08:48.180000,338.8969501491416,331.06930654087785
72,909850,47.4483878,-122.3028258,2022-03-09 17:25:49.085000+00:00,2022-03-09 17:25:49.085000+00:00,0 days 00:01:07.139000,338.8963297437815,331.0685823913901
73,909851,47.4483833,-122.3028265,2022-03-09 17:26:21.850000+00:00,2022-03-09 17:26:21.850000+00:00,0 days 00:00:32.765000,338.8961632222808,331.06840341577356
74,909852,47.4484923,-122.302702,2022-03-09 17:27:13.775000+00:00,2022-03-09 17:27:13.775000+00:00,0 days 00:00:51.925000,338.89289315987634,331.0655234042294
75,909853,47.4460723,-122.3038038,2022-03-09 17:27:58.078000+00:00,2022-03-09 17:27:58.078000+00:00,0 days 00:00:44.303000,338.8527097419496,331.0180479401837
76,909854,47.4460142,-122.3039438,2022-03-09 17:28:30.335000+00:00,2022-03-09 17:28:30.335000+00:00,0 days 00:00:32.257000,338.85946287260145,331.0245329645961
77,909855,47.4458072,-122.3039233,2022-03-09 17:29:06.555000+00:00,2022-03-09 17:29:06.555000+00:00,0 days 00:00:36.220000,338.84824083274304,331.0127814289522
78,909856,47.4457943,-122.3039039,2022-03-09 17:29:38.553000+00:00,2022-03-09 17:29:38.553000+00:00,0 days 00:00:31.998000,338.8463101575797,331.01083260953425
79,909857,47.4458503,-122.3039106,2022-03-09 17:31:14.015000+00:00,2022-03-09 17:31:14.015000+00:00,0 days 00:01:35.462000,338.84942436298775,331.01408911551687
80,909858,47.4458033,-122.3038736,2022-03-09 17:32:45.738000+00:00,2022-03-09 17:32:45.738000+00:00,0 days 00:01:31.723000,338.84467869137615,331.0092497306199
81,909859,47.4458228,-122.3038903,2022-03-09 17:33:45.725000+00:00,2022-03-09 17:33:45.725000+00:00,0 days 00:00:59.987000,338.84673929209623,331.0113481069286
82,909860,47.44578,-122.3038901,2022-03-09 17:34:45.736000+00:00,2022-03-09 17:34:45.736000+00:00,0 days 00:01:00.011000,338.84469351505373,331.0091895378993
83,909861,47.4458133,-122.303917,2022-03-09 17:36:46.239000+00:00,2022-03-09 17:36:46.239000+00:00,0 days 00:02:00.503000,338.8481024004415,331.01266425903344
